adduser 3.118ubuntu5
libsmartcols1 2.37.2-4ubuntu3.5
libsmbios-c2 2.4.3-1build1
libsodium23 1.0.18-1ubuntu0.22.04.1
libsort-naturally-perl 1.03-2
libsqlite3-0 3.37.2-2ubuntu0.5
libss2 1.46.5-2ubuntu1.2
libssh-4 0.9.6-2ubuntu0.22.04.7
libssl3 3.0.2-0ubuntu1.21
libstdc++6 12.3.0-1ubuntu1~22.04.3
libstemmer0d 2.2.0-1build1
libsystemd0 249.11-0ubuntu3.19
libtasn1-6 4.18.0-4ubuntu0.2
libtcl8.6 8.6.12+dfsg-1build1
libterm-readkey-perl 2.38-1build4
libtext-charwidth-perl 0.04-10build3
libtext-iconv-perl 1.7-7build3
libtext-wrapi18n-perl 0.06-9
libtie-ixhash-perl 1.23-2.1
libtimedate-perl 2.3300-2
libtinfo6 6.3-2ubuntu0.1
libtirpc-common 1.3.2-2ubuntu0.1
libtirpc3 1.3.2-2ubuntu0.1
libtry-tiny-perl 0.31-1
libtss2-esys-3.0.2-0 3.2.0-1ubuntu1.1
libtss2-mu0 3.2.0-1ubuntu1.1
libtss2-sys1 3.2.0-1ubuntu1.1
libtss2-tcti-cmd0 3.2.0-1ubuntu1.1
libtss2-tcti-device0 3.2.0-1ubuntu1.1
libtss2-tcti-mssim0 3.2.0-1ubuntu1.1
libtss2-tcti-swtpm0 3.2.0-1ubuntu1.1
libtypes-serialiser-perl 1.01-1
libuchardet0 0.0.7-1build2
libudev1 249.11-0ubuntu3.19
libudisks2-0 2.9.4-1ubuntu2.3
libunistring2 1.0-1
libunwind8 1.3.2-2build2.1
libupower-glib3 0.99.17-1
liburcu8 0.13.1-1
liburi-perl 5.10-1
libusb-1.0-0 2:1.0.25-1ubuntu2
libusbmuxd6 2.0.2-3build2
libutempter0 1.2.1-2build2
libuuid1 2.37.2-4ubuntu3.5
libuv1 1.43.0-1ubuntu0.1
libvolume-key1 0.3.12-3.1build3
libwrap0 7.6.q-31build2
libwww-perl 6.61-1
libwww-robotrules-perl 6.02-1
libx11-6 2:1.7.5-1ubuntu0.3
libx11-data 2:1.7.5-1ubuntu0.3
libxau6 1:1.0.9-1build5
libxcb1 1.14-3ubuntu3
libxdmcp6 1:1.1.3-0ubuntu5
libxext6 2:1.3.4-1build1
libxml-parser-perl 2.46-3build1
libxml-twig-perl 1:3.52-1
libxml-xpathengine-perl 0.14-1
libxml2 2.9.13+dfsg-1ubuntu0.11
libxml2-utils 2.9.13+dfsg-1ubuntu0.11
libxmlb2 0.3.6-2build1
libxmlsec1 1.2.33-1build2
libxmlsec1-openssl 1.2.33-1build2
libxmuu1 2:1.1.3-3
libxslt1.1 1.1.34-4ubuntu0.22.04.5
libxtables12 1.8.7-1ubuntu5.2
libxxhash0 0.8.1-1
libyaml-0-2 0.2.2-1build2
libzstd1 1.4.8+dfsg-3build1
linux-base 4.5ubuntu9
linux-firmware 20220329.git681281e4-0ubuntu3.40
linux-generic 5.15.0.173.161
linux-headers-5.15.0-151 5.15.0-151.161
linux-headers-5.15.0-151-generic 5.15.0-151.161
linux-headers-5.15.0-173 5.15.0-173.183
linux-headers-5.15.0-173-generic 5.15.0-173.183
linux-headers-generic 5.15.0.173.161
linux-image-5.15.0-136-generic 5.15.0-136.147
linux-image-5.15.0-139-generic 5.15.0-139.149
linux-image-5.15.0-140-generic 5.15.0-140.150
linux-image-5.15.0-141-generic 5.15.0-141.151
linux-image-5.15.0-142-generic 5.15.0-142.152
linux-image-5.15.0-143-generic 5.15.0-143.153
linux-image-5.15.0-144-generic 5.15.0-144.157
linux-image-5.15.0-151-generic 5.15.0-151.161
linux-image-5.15.0-173-generic 5.15.0-173.183
linux-image-generic 5.15.0.173.161
linux-modules-5.15.0-136-generic 5.15.0-136.147
linux-modules-5.15.0-139-generic 5.15.0-139.149
linux-modules-5.15.0-140-generic 5.15.0-140.150
linux-modules-5.15.0-141-generic 5.15.0-141.151
linux-modules-5.15.0-142-generic 5.15.0-142.152
linux-modules-5.15.0-143-generic 5.15.0-143.153
linux-modules-5.15.0-144-generic 5.15.0-144.157
linux-modules-5.15.0-151-generic 5.15.0-151.161
linux-modules-5.15.0-173-generic 5.15.0-173.183
linux-modules-extra-5.15.0-136-generic 5.15.0-136.147
linux-modules-extra-5.15.0-139-generic 5.15.0-139.149
linux-modules-extra-5.15.0-140-generic 5.15.0-140.150
linux-modules-extra-5.15.0-141-generic 5.15.0-141.151
linux-modules-extra-5.15.0-142-generic 5.15.0-142.152
linux-modules-extra-5.15.0-143-generic 5.15.0-143.153
linux-modules-extra-5.15.0-144-generic 5.15.0-144.157
linux-modules-extra-5.15.0-151-generic 5.15.0-151.161
linux-modules-extra-5.15.0-173-generic 5.15.0-173.183
locales 2.35-0ubuntu3.13
login 1:4.8.1-2ubuntu2.2
logrotate 3.19.0-1ubuntu1.1
logsave 1.46.5-2ubuntu1.2
lsb-base 11.1.0ubuntu4
lsb-release 11.1.0ubuntu4
lshw 02.19.git.2021.06.19.996aaad9c7-2build1
lsof 4.93.2+dfsg-1.1build2
lvm2 2.03.11-2.1ubuntu4
lxd-agent-loader 0.5
mailutils 1:3.14-1
mailutils-common 1:3.14-1
man-db 2.10.2-1
manpages 5.10-1ubuntu1
mawk 1.3.4.20200120-3
mdadm 4.2-0ubuntu2
media-types 7.0.0
modemmanager 1.20.0-1~ubuntu22.04.3
mokutil 0.6.0-2~22.04.2
motd-news-config 12ubuntu4.7
mount 2.37.2-4ubuntu3.5
mtr-tiny 0.95-1
multipath-tools 0.8.8-1ubuntu1.22.04.4
mysql-common 5.8+1.0.8
nano 6.2-1ubuntu0.1
ncurses-base 6.3-2ubuntu0.1
ncurses-bin 6.3-2ubuntu0.1
ncurses-term 6.3-2ubuntu0.1
needrestart 3.5-5ubuntu2.4
net-tools 1.60+git20181103.0eebece-1ubuntu5.4
netbase 6.3
netcat-openbsd 1.218-4ubuntu1
netplan.io 0.106.1-7ubuntu0.22.04.4
networkd-dispatcher 2.1-2ubuntu0.22.04.2
nftables 1.0.2-1ubuntu3
nload 0.7.4-2build3
ntfs-3g 1:2021.8.22-3ubuntu1.2
open-iscsi 2.1.5-1ubuntu1
open-vm-tools 2:12.3.5-3~ubuntu0.22.04.3
openjdk-11-jdk-headless 11.0.30+7-1ubuntu1~22.04
openjdk-11-jre-headless 11.0.30+7-1ubuntu1~22.04
opennms 33.1.5-1
opennms-common 33.1.5-1
opennms-db 33.1.5-1
opennms-server 33.1.5-1
opennms-source 33.1.5-1
opennms-webapp-jetty 33.1.5-1
openssh-client 1:8.9p1-3ubuntu0.14
openssh-server 1:8.9p1-3ubuntu0.14
openssh-sftp-server 1:8.9p1-3ubuntu0.14
openssl 3.0.2-0ubuntu1.21
os-prober 1.79ubuntu2
overlayroot 0.47ubuntu1
packagekit 1.2.5-2ubuntu2
packagekit-tools 1.2.5-2ubuntu2
parted 3.4-2build1
passwd 1:4.8.1-2ubuntu2.2
pastebinit 1.5.1-1ubuntu1
patch 2.7.6-7build2
pci.ids 0.0~2022.01.22-1
pciutils 1:3.7.0-6
perl 5.34.0-3ubuntu1.5
perl-base 5.34.0-3ubuntu1.5
perl-modules-5.34 5.34.0-3ubuntu1.5
perl-openssl-defaults 5build2
pinentry-curses 1.1.1-1build2
pkexec 0.105-33
plymouth 0.9.5+git20211018-1ubuntu3
plymouth-theme-ubuntu-text 0.9.5+git20211018-1ubuntu3
policykit-1 0.105-33
polkitd 0.105-33
pollinate 4.33-3ubuntu2.3
postfix 3.6.4-1ubuntu1.3
